COD_ASIGNATURA;NOMBRE_ASIGNATURA;NRO_CREDITOS;NRO_HORAS_TEORIA;NRO_HORAS_LABORATORIO;NRO_HORAS_PRACTICA;TIPO_AULA;COD_TIPO_ASIGNATURA;COD_AREA_ASIGNATURA;COD_CLASE_ASIGNATURA;SIGLO_PERIODO_DESDE;ANIO_PERIODO_DESDE;MESI_PERIODO_DESDE;MESF_PERIODO_DESDE;SIGLO_PERIODO_HASTA;ANIO_PERIODO_HASTA;MESI_PERIODO_HASTA;MESF_PERIODO_HASTA;DESCRIPCION
CI4321;COMPUTACION GRAFICA I;4;0;0;0;;A;01;EP;0;91;9;12;;;;;
CI5321;COMPUTACION GRAFICA II;4;4;0;0;A;A;01;EP;0;92;1;3;;;;;
CI5322;COMPUTACION GRAFICA III;4;0;0;0;;A;01;EP;1;0;1;3;;;;;
CI5432;INTRODUCCION A LAS BASES DATOS LOGICAS;4;4;0;0;B;A;01;EP;0;93;9;12;;;;;
CI5437;INTELIGENCIA ARTIFICIAL I;4;0;0;0;;A;01;EP;0;99;1;3;;;;;
CI5438;INTELIGENCIA ARTIFICIAL II;4;0;0;0;;A;01;EP;0;98;4;7;;;;;
CI5439;INTELIGENCIA ARTIFICIAL(REDES NEURALES) ;4;0;0;0;;A;01;EP;0;98;4;7;;;;;
CI5451;TOPICOS ESPECIALES INFORMACION;4;4;0;0;B;A;01;EP;0;95;1;3;;;;;
CI5452;TOPICOS ESPECIALES INFORMACION;4;4;0;0;B;A;01;EP;0;95;1;3;;;;;
CI5645;ESPECIFICACION FORMAL DE SISTEMAS;4;0;0;0;;A;01;EP;0;99;1;3;;;;;
CI5651;DISENO DE ALGORITMOS I;4;0;0;0;;A;01;EP;0;98;9;12;;;;;
CI5652;DISENO DE ALGORITMOS II;4;0;0;0;;A;01;EP;0;99;9;12;;;;;
CI5731;TOPICOS EN AMBIENTES DE PROGRAMACION;3;3;0;1;B;A;01;EP;0;93;4;7;;;;;
CI5832;REDES DE COMPUTADORAS II;4;0;0;0;;A;01;EP;0;99;9;12;;;;;
CI5833;REDES DE COMPUTADORAS III;4;0;0;0;;A;01;EP;0;99;9;12;;;;;
CI5851;TOPICOS ESPECIALES EN COMPUTACION;4;4;0;0;B;A;01;EP;0;94;1;3;;;;;
CI5852;TOPICOS ESPECIALES EN COMPUTACION;4;4;0;0;B;A;01;EP;0;99;9;12;;;;;
CI5854;DISENO Y ADMINISTRACION DE REDES;4;0;0;0;;A;01;EP;0;98;9;12;;;;;
CI5855;TOP. EN INGENIERIA DE COMPUTACION I;4;0;0;0;;A;01;EP;0;99;9;12;;;;;
CI5856;TOPICOS EN INGENIERIA DE COMPUTACION II;4;0;0;0;;A;01;EP;0;99;9;12;;;;;
CI5251;TOPICOS ESPECIALES EN INFORMATICA;4;4;0;0;B;A;01;EP;0;99;9;12;;;;;
CI5252;TOPICOS ESPECIALES EN INFORMATICA;4;4;0;0;B;A;01;EP;0;99;9;12;;;;;
CI4311;SISTEMAS DE BASES DE DATOS II;4;0;0;0;;A;01;EP;0;90;1;3;;;;;
CI4312;SISTEMAS DE BASES DE DATOS III;4;4;0;0;A;A;01;EP;0;90;4;7;;;;;
CI5313;ARQUITECT. Y ADMINISTRACION DBMS I;4;0;0;0;;A;01;EP;0;96;9;12;;;;;
CI5314;ARQUITECTURA Y ADMINISTRACION DE DBMS II;4;0;0;0;;A;01;EP;0;99;9;12;;;;;
CI6352;CRIPTOGRAFIA Y SEGURIDAD DE DATOS;4;4;0;0;B;A;01;EP;0;91;9;12;;;;;
CI6431;TOPICOS EN INTELIGENCIA ARTIFICIAL I;4;4;0;0;;A;01;EP;0;89;9;12;;;;;
CI6432;TOPICOS EN INTELIGENCIA ARTIFICIAL II;4;4;0;0;;A;01;EP;0;92;1;3;;;;;
CI6433;TOPICOS EN INTELIGENCIA ARTIFICIAL III;4;0;0;0;;A;01;EP;0;90;4;7;;;;;
CI6434;TOPICOS EN INTELIGENCIA ARTIFCIAL IV;4;4;0;0;B;A;01;EP;0;90;9;12;;;;;
CI6435;TOPICOS EN ITELIGENCI ARTIFICIAL V;4;4;0;0;B;A;01;EP;0;90;9;12;;;;;
CI6436;TOPICOS EN INTELIGENCIA ARTIFICIAL VI;4;0;0;0;B;A;01;EP;0;93;4;7;;;;;
CI6437;INTELIGENCIA ARTIFICIAL DISTRIBUIDA;4;4;0;0;;A;01;EP;0;93;1;3;;;;;
