COD_ASIGNATURA;SIGLO_PERIODO_DESDE;ANIO_PERIODO_DESDE;MESI_PERIODO_DESDE;MESF_PERIODO_DESDE;NOMBRE_ASIGNATURA;NRO_CREDITOS;NRO_HORAS_TEORIA;NRO_HORAS_LABORATORIO;NRO_HORAS_PRACTICA;TIPO_AULA;COD_TIPO_ASIGNATURA;COD_AREA_ASIGNATURA;COD_CLASE_ASIGNATURA;SIGLO_PERIODO_HASTA;ANIO_PERIODO_HASTA;MESI_PERIODO_HASTA;MESF_PERIODO_HASTA;DESCRIPCION
BC3121;0;83;1;3;Bioquimica I;4;0;0;0;;A;01;EP;0;83;4;7;
BC3181;0;83;1;3;LAB. BIOQUIMICA;2;0;0;0;;B;01;EP;0;89;1;3;
BC3181;0;89;4;7;LABORATORIO BIOQUIMICA;2;0;0;0;;B;01;EP;0;90;1;3;
BC3182;0;83;4;7;LAB.BIOQUIMICA II;2;0;0;0;;B;01;EP;0;99;4;7;
BC3221;0;83;1;3;GENETICA;4;0;0;0;;A;01;EP;0;90;1;3;
BC3281;0;83;1;3;LAB. GENETICA;2;0;0;0;;B;01;EP;0;89;1;3;
BC3281;0;89;4;7;LABORATORIO GENETICA;2;0;0;0;;B;01;EP;0;90;1;3;
BC3421;0;83;4;7;FISIOL.CELULAR;4;0;0;0;;A;01;EP;0;89;4;7;
BC3424;0;83;4;7;INMUNOLOGIA;3;0;0;0;;A;01;EP;0;84;7;8;
BC3424;0;84;9;12;INMUNOBIOLOGIA;3;0;0;0;;A;01;EP;0;86;7;8;
BC3424;0;86;9;12;INMUNOLOGIA;3;0;0;0;;A;01;EP;0;96;9;12;
BC3484;0;83;4;7;LAB.INMUNOLOGIA;1;0;0;0;;B;01;EP;0;84;7;8;
BC3484;0;84;9;12;LAB.INMUNOBIOLOGIA;1;0;0;0;;B;01;EP;0;86;7;8;
BC3484;0;86;9;12;LAB.INMUNOLOGIA;1;0;0;0;;B;01;EP;0;89;4;7;
BC4224;0;84;4;7;TEORIA GEN Y HEREN;3;0;0;0;;A;01;EP;0;94;9;12;
BC4283;0;85;9;12;LAB.GEN.HUMANA;1;0;0;0;;B;01;EP;0;99;4;7;
BC4341;0;83;9;12;INTRO.MICROB.ALIM.;4;0;0;0;;A;01;EP;0;84;4;7;
BC4612;0;83;1;3;TRAB.DIRG.CEL.Y.MO;1;0;0;0;;A;01;EP;0;87;7;8;
BC4612;0;87;9;12;TRABAJO DIRIGIDO;1;0;0;0;;A;01;EP;0;99;1;3;
BC4615;0;83;9;12;TOP.ESP.BIO.CEL.MO;3;0;0;0;;A;01;EP;0;87;4;7;
BC5321;0;83;4;7;MICROBIOLOGIA;3;0;0;0;;A;01;EP;0;84;1;3;
BC5321;0;84;4;7;MIC. GENERAL;3;0;0;0;;A;01;EP;0;87;1;3;
BC5331;0;83;1;3;MICROBIOL.INDUST.;3;0;0;0;;A;01;EP;0;83;9;12;
BC5331;0;84;1;3;MICROBIOL.INDUSTR.;3;0;0;0;;A;01;EP;0;86;9;12;
BC5331;0;87;1;3;MICROBIOL.INDUST.;3;0;0;0;;A;01;EP;0;90;9;12;
BC5341;0;86;9;12;ELEM.MICROBIO.APLI;2;0;0;0;;A;01;EP;0;88;9;12;
BC5381;0;83;4;7;LAB.MICROBIOL;2;0;0;0;;B;01;EP;0;84;1;3;
BC5381;0;84;4;7;LAB.MICROBIOL.GEN;2;0;0;0;;B;01;EP;0;87;1;3;
BC5381;0;87;4;7;LAB.MICROBIOL;2;0;0;0;;B;01;EP;0;90;4;7;
BC5382;0;86;9;12;TEC.MICROBIO.APLIC;1;0;0;0;;B;01;EP;0;87;7;8;
BC5382;0;87;9;12;TEC.MICROBIO.APLIC;2;0;0;0;;B;01;EP;0;88;9;12;
BC5382;0;89;1;3;TECNICAS MICROBIOLOGIA;2;0;0;0;;B;01;EP;0;91;1;3;
BC5431;0;85;4;7;MICROSCOPIA ELECT.;3;0;0;0;;A;01;EP;0;87;1;3;
BC6123;0;85;1;3;TOP.ESP.BIOQUIMICA;3;0;0;0;;A;01;EP;0;90;1;3;
BC6151;0;85;9;12;BIOQUIM.PARASITOS.;3;0;0;0;;A;01;EP;0;88;9;12;
BC6421;0;86;9;12;FISIOLOGIA DE CELU;3;0;0;0;;A;01;EP;0;87;9;12;
BCY211;0;87;1;3;GENETICA.HUM.I;3;0;0;0;;A;01;GP;0;99;4;7;
BCZ212;0;87;4;7;GENETICA.HUM.II;3;0;0;0;;A;01;GP;0;99;4;7;
BIN511;0;75;9;12;ANAL DE ALIMENTOS;0;0;0;0;;A;01;EP;0;76;7;8;
BIN511;0;76;9;12;ANL. DE ALIMENTOS;0;0;0;0;;A;01;EP;0;77;4;7;
BIN513;0;74;4;7;FER INDUSTRIALES;0;0;0;0;;A;01;EP;0;74;9;12;
BIN513;0;75;1;3;FERMENTAC.INDUST.;0;0;0;0;;A;01;EP;0;76;9;12;
BIN515;0;75;4;7;INT.A LA TECN.ALIM;0;0;0;0;;A;01;EP;0;76;1;3;
BIN515;0;76;4;7;INT.TECNO.ALIMENT.;0;0;0;0;;A;01;EP;0;77;1;3;
BIN515;0;77;4;7;INT.A LA TECN.ALIM;3;0;0;0;;A;01;EP;0;78;1;3;
BIN611;0;74;9;12;BIOELECTRONICA;0;0;0;0;;A;01;EP;0;75;7;8;
BIN611;0;75;9;12;BIOLECTRONICA;0;0;0;0;;A;01;EP;0;77;4;7;
BIN612;0;75;1;3;BIOELECTRONICA;0;0;0;0;;A;01;EP;0;76;9;12;
BIN613;0;75;4;7;LAB.DE BIOELECT.;0;0;0;0;;A;01;EP;0;76;1;3;
BIN613;0;76;4;7;LAB.BIOELECTRON.;0;0;0;0;;A;01;EP;0;77;1;3;
BIN621;0;74;9;12;QUIMICA ALIMENTOS;0;0;0;0;;A;01;EP;0;76;7;8;
BIN621;0;76;9;12;QUIM.DE ALIMENTOS;0;0;0;0;;A;01;EP;0;77;4;7;
BIN623;0;76;1;3;OPER.CONSERVACION;0;0;0;0;;A;01;EP;0;76;9;12;
BIN623;0;77;1;3;OPER.CONSERVACION;4;0;0;0;;A;01;EP;0;82;4;7;
BIO211;0;76;9;12;BIO. CELULAR;0;0;0;0;;A;01;EP;0;77;4;7;
BIO232;0;77;1;3;BIOLOG.ORGANISMOS;0;0;0;0;;A;01;EP;0;77;1;3;
BIO291;0;77;1;3;LABORATORIO BIOLOGIA CELULAR;1;0;0;0;;A;01;EP;0;81;9;12;
BIO323;0;78;4;7;BIOQUIMICA I;3;0;0;0;;A;01;EP;0;82;4;7;
BIO396;0;78;4;7;LAB. BIOQUIMICA;1;0;0;0;;A;01;EP;0;82;4;7;
BIO421;0;78;9;12;BIOQUIMICA II;3;0;0;0;;A;01;EP;0;80;4;7;
BIO494;0;78;9;12;LAB.BIOQUIMICA II;1;0;0;0;;A;01;EP;0;80;4;7;
BIO511;0;77;9;12;MIC. GENERAL;4;0;0;0;;A;01;EP;0;78;7;8;
BIO511;0;78;9;12;MIC. GENERAL;2;0;0;0;;A;01;EP;0;80;1;3;
BIO523;0;79;4;7;TOPICOS ESP.BIOQUI;3;0;0;0;;A;01;EP;0;82;1;3;
BO2211;0;83;9;12;BIOL.VEG;4;0;0;0;;A;01;EP;0;88;9;12;
BO2281;0;83;9;12;LAB.BIOL.VEG;2;0;0;0;;B;01;EP;0;88;9;12;
BO2281;0;89;1;3;LABORATORIO BIOLOGIA VEGETAL;2;0;0;0;;B;01;EP;0;89;4;7;
BO2311;0;83;1;3;BIOL.ANIMAL I;4;0;0;0;;A;01;EP;0;89;1;3;
BO2381;0;83;1;3;LAB.BIO.ANIM. I;2;0;0;0;;B;01;EP;0;89;1;3;
BO2381;0;89;4;7;LABORATORIO BIOLOGIA;2;0;0;0;;B;01;EP;0;89;9;12;
BO3221;0;84;9;12;FISIOL.VEGET.COMP.;4;0;0;0;;A;01;EP;0;86;7;8;
BO3221;0;86;9;12;FIS.VEGETAL;4;0;0;0;;A;01;EP;0;88;9;12;
BO3223;0;83;1;3;REP. DES. VEG.;3;0;0;0;;A;01;EP;0;93;9;12;
BO3281;0;84;9;12;LAB.FISIOL.VEGETAL;2;0;0;0;;B;01;EP;0;88;9;12;
BO3281;0;89;1;3;LABORATORIO FISIOLOGIA VEGETAL;2;0;0;0;;B;01;EP;0;89;9;12;
BO3321;0;83;1;3;FIS.ANIMAL;4;0;0;0;;A;01;EP;0;84;7;8;
BO3321;0;84;9;12;FIS. ANIM. COMP.;4;0;0;0;;A;01;EP;0;86;7;8;
BO3321;0;86;9;12;FIS.ANIMAL;4;0;0;0;;A;01;EP;0;88;9;12;
BO3323;0;83;4;7;REPROD.DES.ANIMAL;3;0;0;0;;A;01;EP;0;83;9;12;
BO3323;0;84;1;3;REPROD.DIS.ANIMAL;3;0;0;0;;A;01;EP;0;86;9;12;
BO3323;0;87;1;3;REPROD.DES.ANIMAL;3;0;0;0;;A;01;EP;0;89;1;3;
BO3323;0;89;4;7;REPRODUCCION DESARROLLO;3;0;0;0;;A;01;EP;0;90;1;3;
BO3381;0;83;1;3;LAB.FISIOL.ANIMAL;2;0;0;0;;B;01;EP;0;88;9;12;
BO3381;0;89;1;3;LABORATORIO FISIOLOGIA;2;0;0;0;;B;01;EP;0;89;9;12;
BO3383;0;83;4;7;LAB.REP.DES.ANIMAL;1;0;0;0;;B;01;EP;0;87;9;12;
BO4122;0;83;1;3;TOP.ESP.FIS.Y.MORF;3;0;0;0;;A;01;EP;0;88;9;12;
BO4177;0;83;1;3;TRAB.DIR.FIS.Y MOR;1;0;0;0;;A;01;EP;0;87;7;8;
BO4177;0;87;9;12;TRABAJO DIRIGIDO;1;0;0;0;;A;01;EP;0;99;1;3;
BO4441;0;84;1;3;ANAT.FIS.HUMANA;3;0;0;0;;A;01;EP;0;86;9;12;
BO5222;0;86;1;3;ECOFIS.VEGETAL;3;0;0;0;;A;01;EP;0;86;9;12;
BO5222;0;87;1;3;ECOFIS. VEGETAL;3;0;0;0;;A;01;EP;0;87;9;12;
BO5282;0;86;1;3;LAB.ECOFIS.VEGET.;1;0;0;0;;B;01;EP;0;87;9;12;
BO5322;0;88;9;12;ECOFIS.ANIMAL;3;0;0;0;;A;01;EP;0;90;4;7;
BO5385;0;85;4;7;LAB.ENTOMOLOGIA;2;0;0;0;;B;01;EP;0;95;4;7;
BO6334;0;85;4;7;INMUNOL.DE LA REPR;3;0;0;0;;A;01;EP;0;90;4;7;
CC5141;0;83;4;7;ANAL.EXPER.COND;3;0;0;0;;A;01;EP;0;99;4;7;
CC5421;0;83;1;3;MOD.COND.AMB;3;0;0;0;;A;01;EP;0;99;4;7;
CCB265;0;90;9;12;CEREBRO Y COMUNICACION;3;0;0;0;;A;01;GP;0;90;9;12;
CCD255;0;83;1;3;FAMILIA Y PERSONAL;3;0;0;0;;A;01;GP;0;97;4;7;
CCE264;0;86;1;3;COM.HUM.PROC.Y.EFE;3;0;0;0;;A;01;GP;0;97;4;7;
CCE512;0;83;1;3;TEO.Y PRAC.RELAC.H;3;0;0;0;;A;01;GP;0;96;1;3;
CCF211;0;84;9;12;ANAL.COND.VIOL.;3;0;0;0;;A;01;GP;0;97;4;7;
CCG333;0;84;9;12;OPTIMIZ.TIEMPO.LIB;3;0;0;0;;A;01;GP;0;97;4;7;
