COD_CARRERA;COD_ASIGNATURA;SIGLO_PERIODO_DESDE;ANIO_PERIODO_DESDE;MESI_PERIODO_DESDE;MESF_PERIODO_DESDE;IND_LIBRE_AREA;SIGLO_PERIODO_HASTA;ANIO_PERIODO_HASTA;MESI_PERIODO_HASTA;MESF_PERIODO_HASTA
1700;PS4112;0;99;9;12;C;0;99;9;12
1700;PS4118;0;99;9;12;C;;;;
1700;PS4321;0;99;9;12;C;;;;
1700;PS4324;0;99;9;12;C;;;;
1700;PS5117;0;99;9;12;C;1;5;1;3
1700;PS5118;0;99;9;12;C;;;;
1700;PS5315;0;99;9;12;C;;;;
1700;PS5316;0;99;9;12;C;;;;
1700;PS5317;0;99;9;12;C;;;;
1700;PS6113;0;99;9;12;C;0;99;9;12
1700;PS6147;0;99;9;12;C;;;;
1900;BC3182;0;99;9;12;C;1;12;4;7
1900;BC3183;0;99;9;12;C;;;;
1900;BC3361;0;99;9;12;C;1;2;4;7
1900;BC3424;0;99;9;12;C;;;;
1900;BC3484;0;99;9;12;C;;;;
1900;BC4135;0;99;9;12;C;;;;
1900;BC4223;0;99;9;12;C;1;0;1;3
1900;BC4224;0;99;9;12;C;1;12;4;7
1900;BC4225;0;99;9;12;C;1;12;4;7
1900;BC4226;0;99;9;12;C;1;7;7;8
1900;BC4283;0;99;9;12;C;1;12;4;7
1900;BC4321;0;99;9;12;C;1;12;4;7
1900;BC4322;0;99;9;12;C;;;;
1900;BC4612;0;99;9;12;C;1;3;1;3
1900;BC5341;0;99;9;12;C;1;12;4;7
1900;BC5382;0;99;9;12;C;1;12;4;7
1900;BC5431;0;99;9;12;C;;;;
1900;BC6354;0;99;9;12;C;;;;
1900;BC6384;0;99;9;12;C;;;;
1900;BC6421;0;99;9;12;C;1;12;4;7
1900;BC7261;0;99;9;12;C;1;12;4;7
1900;BO2322;0;99;9;12;C;1;7;1;3
1900;BO3223;0;99;9;12;C;;;;
1900;BO3323;0;99;9;12;C;;;;
1900;BO3383;0;99;9;12;C;;;;
1900;BO4122;0;99;9;12;C;;;;
1900;BO4141;0;99;9;12;C;;;;
1900;BO4177;0;99;9;12;C;1;3;1;3
1900;BO4265;0;99;9;12;C;1;7;1;3
1900;BO4273;0;99;9;12;C;;;;
1900;BO4275;0;99;9;12;C;1;7;1;3
1900;BO4351;0;99;9;12;C;;;;
1900;BO4373;0;99;9;12;C;;;;
1900;BO4421;0;99;9;12;C;;;;
1900;BO4441;0;99;9;12;C;;;;
1900;BO4455;0;99;9;12;C;;;;
1900;BO4576;0;99;9;12;C;;;;
1900;BO4578;0;99;9;12;C;;;;
1900;BO5271;0;99;9;12;C;;;;
1900;BO5272;0;99;9;12;C;1;2;4;7
1900;BO5345;0;99;9;12;C;;;;
1900;BO5357;0;99;9;12;C;1;7;9;12
1900;BO5361;0;99;9;12;C;1;7;1;3
1900;BO5367;0;99;9;12;C;1;7;9;12
1700;PB7436;0;99;9;12;C;1;8;4;7
1700;PL4510;0;99;9;12;C;1;2;4;7
1700;PS1131;0;99;9;12;C;1;1;4;7
1700;CO3312;0;99;9;12;C;1;8;9;12
1700;CO6311;0;99;9;12;C;;;;
1700;EC5536;0;99;9;12;C;;;;
1700;EC5537;0;99;9;12;C;;;;
1700;EP4117;0;99;9;12;C;;;;
1700;EP4217;0;99;9;12;C;;;;
1700;EP4317;0;99;9;12;C;;;;
1700;EP5117;0;99;9;12;C;;;;
1700;EP6117;0;99;9;12;C;;;;
1700;EP7117;0;99;9;12;C;1;8;9;12
1700;EP7217;0;99;9;12;C;1;8;9;12
1700;EP7317;0;99;9;12;C;1;8;9;12
1700;EP7417;0;99;9;12;C;1;8;9;12
1700;EP7517;0;99;9;12;C;1;8;9;12
1700;ID5124;0;99;9;12;C;;;;
1700;MC3619;0;99;9;12;C;1;0;9;12
1700;MC3620;0;99;9;12;C;1;0;9;12
1700;MC3622;0;99;9;12;C;1;0;9;12
1700;MC3623;0;99;9;12;C;1;0;9;12
1700;MC3624;0;99;9;12;C;1;0;9;12
1700;MC3625;0;99;9;12;C;1;0;9;12
1700;MC4133;0;99;9;12;C;;;;
1700;MC4169;0;99;9;12;C;;;;
1700;MC4464;0;99;9;12;C;;;;
1700;MC4666;0;99;9;12;C;;;;
1700;MC4667;0;99;9;12;C;;;;
1700;MC5517;0;99;9;12;C;;;;
1700;MC5665;0;99;9;12;C;;;;
1700;PB5111;0;99;9;12;C;;;;
1700;PB5611;0;99;9;12;C;;;;
1700;PB5671;0;99;9;12;C;;;;
1700;PB6113;0;99;9;12;C;;;;
1700;PB6314;0;99;9;12;C;1;8;4;7
1700;CC6730;0;99;9;12;C;;;;
1700;CC6731;0;99;9;12;C;;;;
1700;CE3122;0;99;9;12;C;;;;
1700;CE3417;0;99;9;12;C;;;;
1700;CE3418;0;99;9;12;C;;;;
1700;CE3419;0;99;9;12;C;;;;
1700;CE3420;0;99;9;12;C;;;;
1700;CE4255;0;99;9;12;C;;;;
1700;CE4257;0;99;9;12;C;1;2;4;7
1700;CE4262;0;99;9;12;C;;;;
