COD_CARRERA;COD_ASIGNATURA;SIGLO_PERIODO_DESDE;ANIO_PERIODO_DESDE;MESI_PERIODO_DESDE;MESF_PERIODO_DESDE;NRO_TRIMESTRE;MODALIDAD;SIGLO_PERIODO_HASTA;ANIO_PERIODO_HASTA;MESI_PERIODO_HASTA;MESF_PERIODO_HASTA
0100;CE3114;0;99;9;12;14;SM;;;;12
0100;CI2121;0;99;9;12;6;SM;1;7;1;3
0100;CO3121;0;99;9;12;10;SM;1;13;7;8
0100;CT1311;0;99;9;12;8;SM;;;;
0100;CT2311;0;99;9;12;9;SM;;;;
0100;CT3231;0;99;9;12;7;SM;1;0;9;12
0100;CT3232;0;99;9;12;8;SM;1;1;9;12
0100;CT3233;0;99;9;12;9;SM;1;0;4;7
0100;CT3311;0;99;9;12;10;SM;;;;
0100;CT4111;0;99;9;12;12;SM;1;10;1;3
0100;CT4211;0;99;9;12;11;SM;1;1;9;12
0100;CT4212;0;99;9;12;12;SM;1;10;4;7
0100;CT4222;0;99;9;12;12;SM;;;;
0100;CT4234;0;99;9;12;10;SM;1;2;1;3
0100;CT4311;0;99;9;12;11;SM;;;;
0100;CT4351;0;99;9;12;11;SM;1;11;9;12
0100;CT4381;0;99;9;12;10;SM;1;10;1;3
0100;CT4382;0;99;9;12;11;SM;;;;
0100;CT4441;0;99;9;12;12;SM;1;11;9;12
0100;CT4611;0;99;9;12;12;SM;1;3;7;8
0100;CT5215;0;99;9;12;14;SM;1;11;9;12
0100;CT5442;0;99;9;12;12;SM;;;;
0100;EC1167;0;99;9;12;7;SM;1;4;7;8
0100;EC1168;0;99;9;12;8;SM;;;;
0100;EC1181;0;99;9;12;8;SM;1;12;1;3
0100;EC1251;0;99;9;12;5;SM;1;0;7;8
0100;EC1311;0;99;9;12;7;SM;;;;
0100;EC2262;0;99;9;12;6;SM;0;99;9;12
0100;EC3188;0;99;9;12;10;SM;1;6;9;12
0100;EC3713;0;99;9;12;9;SM;;;;
0100;EP1201;0;99;9;12;13;SM;0;99;9;12
0100;EP1301;0;99;9;12;12;SM;1;10;4;7
0100;EP2201;0;99;9;12;14;SM;;;;
0100;EP2301;0;99;9;12;12;SM;1;10;4;7
0100;EP3201;0;99;9;12;15;SM;;;;
0100;EP3301;0;99;9;12;12;SM;1;10;4;7
0100;FS2181;0;99;9;12;4;SM;;;;
0100;FS2211;0;99;9;12;4;SM;1;1;1;3
0100;FS2212;0;99;9;12;5;SM;;;;
0100;FS2213;0;99;9;12;6;SM;;;;
0100;FS2281;0;99;9;12;5;SM;1;7;1;3
0100;MA2112;0;99;9;12;5;SM;1;4;9;12
0100;MA2113;0;99;9;12;6;SM;;;;
0100;MA2115;0;99;9;12;4;SM;1;1;7;8
0100;MA3111;0;99;9;12;7;SM;;;;
0100;MC1412;0;99;9;12;4;SM;1;1;1;3
0100;PS1314;0;99;9;12;8;SM;;;;
0100;PS1381;0;99;9;12;9;SM;;;;
0100;PS2316;0;99;9;12;9;SM;;;;
0200;CE3114;0;99;9;12;15;SM;1;9;4;7
0200;CE3122;0;99;9;12;14;SM;;;;
0200;CT3331;0;99;9;12;11;SM;;;;
0200;CT3411;0;99;9;12;11;SM;1;4;4;7
0200;CT3412;0;99;9;12;12;SM;1;4;4;7
0200;CT3415;0;99;9;12;14;SM;1;4;4;7
0200;EP3202;0;99;9;12;13;SM;0;99;9;12
0200;EP4202;0;99;9;12;14;SM;;;;
0200;EP5202;0;99;9;12;15;SM;;;;
0200;FS2181;0;99;9;12;4;SM;;;;
0200;FS2211;0;99;9;12;4;SM;1;1;1;3
0200;FS2212;0;99;9;12;5;SM;;;;
0200;FS2281;0;99;9;12;5;SM;;;;
0200;MA2112;0;99;9;12;5;SM;;;;
0200;MA2113;0;99;9;12;6;SM;;;;
0200;MA2115;0;99;9;12;4;SM;1;1;7;8
0200;MA3111;0;99;9;12;7;SM;;;;
0200;MC2131;0;99;9;12;5;SM;;;;
0200;MC2312;0;99;9;12;8;SM;1;2;9;12
0200;MC2313;0;99;9;12;9;SM;;;;
0200;MC2314;0;99;9;12;10;SM;;;;
0200;MC2411;0;99;9;12;6;SM;1;4;1;3
0200;MC2413;0;99;9;12;7;SM;1;4;1;3
0200;MC2414;0;99;9;12;9;SM;1;4;4;7
0200;MC2415;0;99;9;12;8;SM;1;1;7;8
0200;MC2421;0;99;9;12;5;SM;;;;
0200;MC2422;0;99;9;12;6;SM;1;0;1;3
0200;MC3111;0;99;9;12;7;SM;1;4;1;3
0200;MC3112;0;99;9;12;8;SM;1;4;1;3
0200;MC3113;0;99;9;12;9;SM;1;4;1;3
0200;MC3611;0;99;9;12;11;SM;;;;
0200;MC3612;0;99;9;12;12;SM;;;;
0200;MC4131;0;99;9;12;10;SM;1;1;1;3
0200;MC4132;0;99;9;12;11;SM;;;;
0200;MC4133;0;99;9;12;12;SM;;;;
0200;MT1113;0;99;9;12;10;SM;1;2;7;8
0200;PS1316;0;99;9;12;12;SM;;;;
0200;TF1121;0;99;9;12;7;SM;;;;
0200;TF2123;0;99;9;12;8;SM;;;;
0200;TF2251;0;99;9;12;9;SM;;;;
0200;TF2252;0;99;9;12;10;SM;;;;
0300;CI2121;0;99;9;12;4;SM;1;1;7;8
0300;EP1203;0;99;9;12;13;SM;1;3;1;3
0300;EP1420;0;99;9;12;10;SM;1;3;1;3
0300;EP1503;0;99;9;12;5;SM;1;11;9;12
0300;EP2503;0;99;9;12;10;SM;1;11;9;12
0300;EP3503;0;99;9;12;10;SM;1;11;9;12
0300;FS2181;0;99;9;12;4;SM;;;;
0300;FS2211;0;99;9;12;4;SM;1;1;7;8
0300;FS2281;0;99;9;12;5;SM;;;;
0300;MA2112;0;99;9;12;5;SM;1;1;9;12
0300;MA2113;0;99;9;12;6;SM;;;;
0300;MA2115;0;99;9;12;4;SM;1;1;7;8
0300;MA3111;0;99;9;12;7;SM;;;;
0300;MC1412;0;99;9;12;6;SM;1;2;1;3
0300;MC2113;0;99;9;12;8;SM;1;2;4;7
0300;PS2319;0;99;9;12;11;SM;1;3;1;3
0300;PS2320;0;99;9;12;12;SM;;;;
0300;PS2321;0;99;9;12;12;SM;;;;
0300;PS2383;0;99;9;12;13;SM;;;;
0300;PS3213;0;99;9;12;11;SM;;;;
0300;PS3216;0;99;9;12;15;SM;1;3;1;3
0300;QM1121;0;99;9;12;4;SM;1;0;7;8
0300;QM1122;0;99;9;12;5;SM;;;;
0300;QM1123;0;99;9;12;6;SM;;;;
0300;QM1181;0;99;9;12;5;SM;;;;
0300;QM1182;0;99;9;12;6;SM;1;0;1;3
0300;QM2421;0;99;9;12;8;SM;;;;
0300;QM2422;0;99;9;12;9;SM;;;;
0300;QM2487;0;99;9;12;10;SM;1;4;7;8
0300;QM2512;0;99;9;12;9;SM;;;;
0300;TF1121;0;99;9;12;6;SM;1;3;1;3
0300;TF1221;0;99;9;12;7;SM;1;2;1;3
0300;TF1312;0;99;9;12;5;SM;;;;
0300;TF1313;0;99;9;12;7;SM;1;3;7;8
0300;TF2126;0;99;9;12;8;SM;;;;
0300;TF2241;0;99;9;12;8;SM;;;;
0300;TF2281;0;99;9;12;9;SM;;;;
0300;TF2314;0;99;9;12;14;SM;1;3;1;3
0300;TF2323;0;99;9;12;7;SM;;;;
0300;TF3261;0;99;9;12;9;SM;;;;
0300;TF3282;0;99;9;12;10;SM;;;;
0300;TF3331;0;99;9;12;10;SM;;;;
0300;TF3332;0;99;9;12;11;SM;;;;
0300;TF3341;0;99;9;12;10;SM;1;5;9;12
0300;TF3385;0;99;9;12;12;SM;;;;
0400;EP1104;0;99;9;12;10;SM;1;11;9;12
0400;EP1304;0;99;9;12;13;SM;1;12;1;3
0400;EP2104;0;99;9;12;11;SM;;;;
0400;EP2304;0;99;9;12;14;SM;1;12;1;3
0400;EP3104;0;99;9;12;12;SM;;;;
0400;EP3304;0;99;9;12;15;SM;1;12;1;3
0400;EP4104;0;99;9;12;13;SM;1;12;1;3
0400;EP5104;0;99;9;12;14;SM;1;12;1;3
0400;FS2181;0;99;9;12;4;SM;;;;
0400;FS2211;0;99;9;12;4;SM;1;1;7;8
0400;FS2212;0;99;9;12;5;SM;;;;
0400;FS2281;0;99;9;12;5;SM;;;;
0400;FS2282;0;99;9;12;6;SM;;;;
0400;FS2411;0;99;9;12;6;SM;;;;
0400;MA2112;0;99;9;12;5;SM;1;1;7;8
0400;MA2115;0;99;9;12;4;SM;1;1;7;8
0400;PS3218;0;99;9;12;8;SM;1;2;9;12
0400;PS4218;0;99;9;12;11;SM;;;;
0400;PS4219;0;99;9;12;12;SM;;;;
0400;PS5218;0;99;9;12;13;SM;;;;
0400;PS5228;0;99;9;12;13;SM;;;;
0400;QM1121;0;99;9;12;4;SM;1;0;7;8
0400;QM1122;0;99;9;12;5;SM;;;;
0400;QM1123;0;99;9;12;6;SM;;;;
0400;QM1181;0;99;9;12;5;SM;;;;
0400;QM1182;0;99;9;12;6;SM;;;;
0400;QM2211;0;99;9;12;9;SM;;;;
0400;QM2212;0;99;9;12;10;SM;;;;
0400;QM2213;0;99;9;12;11;SM;;;;
0400;QM2214;0;99;9;12;4;SM;;;;
0400;QM2282;0;99;9;12;12;SM;1;0;1;3
0400;QM2311;0;99;9;12;6;SM;;;;
