COD_CB;COD_ASIGNATURA;SIGLO_PERIODO_DESDE;ANIO_PERIODO_DESDE;MESI_PERIODO_DESDE;MESF_PERIODO_DESDE;NRO_TRIMESTRE;SIGLO_PERIODO_HASTA;ANIO_PERIODO_HASTA;MESI_PERIODO_HASTA;MESF_PERIODO_HASTA
0000;LL0001;0;82;9;12;1;;;;
0000;LLA111;0;82;9;12;1;;;;
0000;LLA112;0;82;9;12;2;;;;
0000;LLA113;0;82;9;12;3;;;;
0000;MA0001;0;82;9;12;1;;;;
0000;MA1111;0;82;9;12;1;;;;
0000;MA1112;0;82;9;12;2;1;0;9;12
0000;MA1116;0;82;9;12;3;1;2;1;3
0007;CSA211;0;92;9;12;1;;;;
0007;CSA212;0;92;9;12;2;;;;
0000;CI1111;0;80;9;12;1;0;80;9;12
0000;CI1112;0;80;9;12;2;0;80;9;12
0000;CI1113;0;80;9;12;3;0;80;9;12
0000;CSA111;0;82;9;12;1;0;92;7;8
0000;CSA112;0;82;9;12;2;0;92;7;8
0000;CSA113;0;82;9;12;3;0;92;7;8
0000;CSA211;0;92;9;12;1;;;;
0000;CSA212;0;92;9;12;2;;;;
0000;CSA213;0;92;9;12;3;;;;
0000;DU1221;0;80;9;12;1;0;80;9;12
0000;DU2625;0;80;9;12;1;0;80;9;12
0000;EAA111;0;82;9;12;1;0;92;7;8
0000;EAA112;0;82;9;12;2;0;92;7;8
0000;EAA113;0;82;9;12;3;0;94;9;12
0000;EGA111;0;82;9;12;1;0;87;9;12
0000;EGA112;0;82;9;12;2;0;87;9;12
0000;EGA113;0;82;9;12;3;0;87;9;12
0000;FS1111;0;82;9;12;2;0;87;9;12
0000;FS1112;0;82;9;12;3;;;;
0000;ID1111;0;82;9;12;1;;;;
0000;ID1112;0;82;9;12;2;;;;
0000;ID1113;0;82;9;12;3;;;;
0007;CSA213;0;83;9;12;3;;;;
0007;DA1111;0;95;9;12;1;;;;
0007;DA1112;0;95;9;12;2;1;4;9;12
0007;DA1113;0;95;9;12;3;;;;
0007;EGA111;0;83;9;12;1;0;87;9;12
0007;LLA111;0;83;9;12;1;;;;
0007;LLA112;0;83;9;12;2;;;;
0007;LLA113;0;83;9;12;3;;;;
0007;MA0001;0;83;9;12;1;;;;
0007;MA1111;0;83;9;12;1;;;;
0007;MA1112;0;83;9;12;2;1;0;9;12
0007;MA1116;0;83;9;12;3;1;2;1;3
0007;PL1510;0;95;9;12;1;;;;
0019;CSA211;0;92;9;12;1;;;;
0019;CSA212;0;92;9;12;2;;;;
0019;CSA213;0;92;9;12;3;;;;
0019;FS1111;0;86;9;12;2;0;87;9;12
0019;ID1112;0;86;9;12;2;1;1;4;7
0019;ID1113;0;86;9;12;3;1;1;4;7
0019;LLA111;0;86;9;12;1;;;;
