SIGLO_CARNET;ANIO_CARNET;NRO_CARNET;SIGLO_PERIODO_LECTIVO;ANIO_PERIODO_LECTIVO;MESI_PERIODO_LECTIVO;MESF_PERIODO_LECTIVO;COD_ASIGNATURA;BLOQUE;SECCION;NRO_CREDITOS;PERMISO;RENGLON;NOTA_ASIGNATURA;IND_NOTA_SIN_EFECTO
1;6;39883;1;6;9;12;LLA111;E;31;3;;16;4;
1;6;39883;1;6;9;12;MA1111;E;36;4;;4;2;S
1;6;39883;1;6;9;12;ID1111;A;34;3;;332;5;
1;6;39883;1;6;9;12;CSA211;E;36;3;;24;2;S
1;6;39883;1;7;1;3;CSA211;A;1;3;;18;3;
1;6;39883;1;7;1;3;LLA112;C;19;3;;15;4;
1;6;39883;1;7;1;3;MA1111;C;12;4;;15;3;
1;6;39883;1;7;1;3;ID1112;A;28;3;;240;5;
1;6;39883;1;7;4;7;CSA212;B;3;3;;15;3;
1;6;39883;1;7;4;7;FS1111;A;7;3;;25;1;
1;6;39883;1;7;4;7;ID1113;E;23;3;;6;4;
1;6;39883;1;7;4;7;LLA113;C;27;3;;17;3;
1;6;39883;1;7;4;7;MA1112;B;12;4;;20;R;
1;6;39883;1;7;9;12;CSA213;A;1;3;;19;2;S
1;6;39883;1;7;9;12;ID1411;A;1;3;S;24;5;
1;6;39883;1;7;9;12;CCP114;A;1;3;S;19;4;
1;6;39883;1;8;1;3;FS1111;B;24;3;;6;1;S
1;6;39883;1;8;1;3;ID1412;A;1;3;S;18;4;
1;6;39883;1;8;1;3;MA1112;B;20;4;;3;2;S
1;6;39883;1;8;4;7;CSA213;B;14;3;;1;R;
1;6;39883;1;8;4;7;FS1111;D;22;3;;10;R;
1;6;39883;1;8;4;7;IDE631;A;1;3;;27;R;
1;6;39883;1;8;4;7;MA1112;A;3;4;;3;R;
1;6;39883;1;8;7;8;FS1111;A;1;3;;60;3;
1;6;39883;1;8;7;8;MA1112;B;5;4;;26;3;
1;6;39883;1;9;1;3;CCY651;A;1;3;;6;5;
1;6;39883;1;9;1;3;CI2511;A;1;4;;7;1;
1;6;39883;1;9;1;3;IDY512;A;1;3;;9;4;
